Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age Number,Age Unit,Grouped Sex upon Outcome
A767231,Millie,2018-02-25 17:19:00,Feb 2018,2017-02-25,Return to Owner,Dog,Spayed Female,365,Jack Russell Terrier/Chihuahua Shorthair,White/Tan,1,365.0,Fixed
A754682,Big Girl,2017-07-23 11:58:00,Jul 2017,2009-07-22,Return to Owner,Dog,Spayed Female,2923,Great Pyrenees Mix,White,8,365.0,Fixed
A812473,Theodore Nubbins,2020-03-05 16:15:00,Mar 2020,2010-01-26,Adoption,Dog,Neutered Male,3691,Chihuahua Shorthair,Brown,10,365.0,Fixed
A740079,Terry,2016-12-26 13:45:00,Dec 2016,2013-12-10,Return to Owner,Dog,Neutered Male,1112,Australian Cattle Dog Mix,Black/White,3,365.0,Fixed
A757919,*Tofu,2017-10-05 15:36:00,Oct 2017,2015-09-08,Adoption,Dog,Spayed Female,758,Beagle Mix,Brown/White,2,365.0,Fixed
A789298,*Mr Wrinkles,2019-04-23 11:59:00,Apr 2019,2019-02-15,Adoption,Dog,Neutered Male,67,Labrador Retriever Mix,Brown/White,2,30.0,Fixed
A773866,*Nitro,2018-08-23 18:05:00,Aug 2018,2016-06-06,Adoption,Dog,Neutered Male,808,Labrador Retriever/Staffordshire,Black/White,2,365.0,Fixed
A725530,King,2016-06-09 14:50:00,Jun 2016,2015-10-30,Adoption,Dog,Neutered Male,223,Pit Bull Mix,Brown Brindle/White,7,30.0,Fixed
A722378,Canine,2016-03-31 19:08:00,Mar 2016,2010-03-15,Return to Owner,Dog,Neutered Male,2208,German Shepherd Mix,Brown/Black,6,365.0,Fixed
A681449,Buster,2014-07-02 19:01:00,Jul 2014,2010-06-16,Return to Owner,Dog,Neutered Male,1477,Dogo Argentino Mix,White/Brown,4,365.0,Fixed
A738919,Milo,2016-11-27 17:35:00,Nov 2016,2016-09-23,Adoption,Dog,Neutered Male,65,Black Mouth Cur Mix,Brown/Black,2,30.0,Fixed
A805930,*Rachel,2019-11-08 18:37:00,Nov 2019,2019-09-11,Adoption,Dog,Spayed Female,58,Border Collie Mix,Chocolate/White,1,30.0,Fixed
A672423,Valentine,2014-02-14 11:44:00,Feb 2014,2002-02-10,Transfer,Dog,Spayed Female,4387,Collie Rough Mix,Red,12,365.0,Fixed
A665383,Indica,2013-10-30 16:23:00,Oct 2013,2013-06-19,Adoption,Dog,Spayed Female,133,German Shepherd Mix,Black/Tan,4,30.0,Fixed
A806497,*Moo,2019-12-17 17:59:00,Dec 2019,2019-06-02,Adoption,Other,Spayed Female,198,Polish,White/White,6,30.0,Fixed
A754899,Puppy,2017-07-29 17:57:00,Jul 2017,2012-07-26,Adoption,Dog,Spayed Female,1829,German Shepherd Mix,Brown/Black,5,365.0,Fixed
A746498,Zeus,2017-05-03 19:25:00,May 2017,2016-04-04,Adoption,Dog,Neutered Male,394,Rat Terrier/Cardigan Welsh Corgi,Black/White,1,365.0,Fixed
A813785,Snout,2020-02-26 19:45:00,Feb 2020,2019-02-18,Rto-Adopt,Dog,Neutered Male,373,Doberman Pinsch,Black/Brown,1,365.0,Fixed
A810161,Lizzie,2019-12-19 15:54:00,Dec 2019,2019-10-15,Adoption,Dog,Spayed Female,65,Australian Cattle Dog,Blue Tick/Black,2,30.0,Fixed
A777234,Tyson,2019-01-02 00:00:00,Jan 2019,2017-11-25,Transfer,Dog,Neutered Male,403,Pit Bull Mix,Blue/White,1,365.0,Fixed
A684009,Big Boy,2014-07-19 18:32:00,Jul 2014,2012-07-18,Return to Owner,Dog,Neutered Male,731,American Staffordshire Terrier Mix,Brown Brindle/White,2,365.0,Fixed
A839936,A839936,2021-08-02 17:57:00,Aug 2021,2021-05-29,Adoption,Dog,Neutered Male,65,Labrador Retriever,Black/White,2,30.0,Fixed
A792258,Vesper,2019-04-10 20:53:00,Apr 2019,2016-09-08,Adoption,Cat,Spayed Female,944,Domestic Shorthair Mix,Tortie,2,365.0,Fixed
A802723,*Linguine,2019-09-20 18:27:00,Sep 2019,2019-07-09,Adoption,Dog,Spayed Female,73,Miniature Poodle Mix,Tan,2,30.0,Fixed
A705205,*Dell,2015-06-20 16:25:00,Jun 2015,2015-03-30,Adoption,Cat,Neutered Male,82,Domestic Shorthair Mix,White/Blue Tabby,2,30.0,Fixed
A689228,Louie,2014-12-05 15:55:00,Dec 2014,2014-06-01,Adoption,Dog,Neutered Male,187,Dachshund/Chihuahua Shorthair,Sable/Tan,6,30.0,Fixed
A688837,*Sterling,2014-10-13 18:14:00,Oct 2014,2013-09-24,Adoption,Dog,Neutered Male,384,Chihuahua Shorthair Mix,Tan/White,1,365.0,Fixed
A634392,Junior,2018-03-24 15:56:00,Mar 2018,2009-08-11,Return to Owner,Dog,Neutered Male,3147,Standard Schnauzer/Miniature Poodle,White,8,365.0,Fixed
A736717,Max,2016-10-21 14:45:00,Oct 2016,2013-10-16,Return to Owner,Dog,Neutered Male,1101,Pug Mix,Brown Brindle,3,365.0,Fixed
A766886,Lola,2018-02-26 17:53:00,Feb 2018,2017-02-18,Adoption,Dog,Spayed Female,373,Labrador Retriever Mix,Brown/Brown,1,365.0,Fixed
A817863,*Beef,2020-06-04 14:45:00,Jun 2020,2018-05-27,Adoption,Dog,Neutered Male,739,American Bulldog,Brown Brindle/White,2,365.0,Fixed
A767796,*Koko,2019-06-20 14:18:00,Jun 2019,2017-12-06,Transfer,Dog,Spayed Female,561,American Pit Bull Terrier Mix,Brown/White,1,365.0,Fixed
A777606,Bobo,2018-08-07 17:25:00,Aug 2018,2011-07-31,Adoption,Dog,Neutered Male,2564,Chihuahua Shorthair Mix,Tricolor,7,365.0,Fixed
A805948,Blue,2019-10-04 11:25:00,Oct 2019,2017-10-04,Return to Owner,Dog,Intact Male,730,Siberian Husky,Black/Gray,2,365.0,Intact
A696409,*Hans,2015-02-09 18:46:00,Feb 2015,2014-11-19,Adoption,Cat,Neutered Male,82,Domestic Shorthair Mix,Black,2,30.0,Fixed
A781976,*Fancy,2018-10-16 14:25:00,Oct 2018,2017-10-08,Transfer,Dog,Intact Female,373,German Shepherd Mix,White,1,365.0,Intact
A751447,Bowser,2017-06-16 18:29:00,Jun 2017,2014-06-08,Adoption,Dog,Neutered Male,1104,Beagle Mix,Brown/White,3,365.0,Fixed
A643424,Patches,2015-10-30 17:23:00,Oct 2015,2009-12-09,Return to Owner,Cat,Neutered Male,2151,Domestic Shorthair Mix,Black/White,5,365.0,Fixed
A791702,Cooper,2019-04-04 16:13:00,Apr 2019,2019-01-20,Adoption,Dog,Neutered Male,74,Labrador Retriever Mix,Brown/White,2,30.0,Fixed
A664941,Tequila,2013-10-12 18:14:00,Oct 2013,2009-10-11,Return to Owner,Dog,Spayed Female,1462,Pit Bull Mix,Red/White,4,365.0,Fixed
A657197,Gecko,2013-10-09 13:15:00,Oct 2013,2013-05-12,Adoption,Cat,Neutered Male,150,Domestic Shorthair Mix,Brown Tabby,4,30.0,Fixed
A801948,Boie,2021-07-09 13:24:00,Jul 2021,2019-02-12,Adoption,Dog,Neutered Male,878,Australian Kelpie Mix,Brown Brindle/White,2,365.0,Fixed
A809230,*Moo,2019-11-24 16:36:00,Nov 2019,2015-11-21,Adoption,Dog,Neutered Male,1464,Siberian Husky,Gray/White,4,365.0,Fixed
A783412,*Yams,2018-12-16 12:45:00,Dec 2018,2008-10-30,Adoption,Cat,Neutered Male,3699,Domestic Shorthair Mix,Black,10,365.0,Fixed
A686459,*Lovey,2014-09-21 17:39:00,Sep 2014,2014-07-15,Adoption,Cat,Spayed Female,68,Domestic Shorthair Mix,Tortie,2,30.0,Fixed
A742736,Astro,2017-01-31 17:02:00,Jan 2017,2016-05-01,Adoption,Dog,Neutered Male,275,Yorkshire Terrier/Miniature Poodle,Brown/Gray,9,30.0,Fixed
A727627,Cesar,2016-05-26 17:13:00,May 2016,2015-05-23,Return to Owner,Dog,Neutered Male,369,Pit Bull Mix,Brown Brindle/White,1,365.0,Fixed
A790321,Prince,2019-03-10 17:37:00,Mar 2019,2010-03-10,Return to Owner,Dog,Intact Male,3287,Miniature Schnauzer Mix,Black,9,365.0,Intact
A679096,Copper,2015-12-22 11:50:00,Dec 2015,2007-05-16,Adoption,Dog,Neutered Male,3142,Miniature Pinscher Mix,Red,8,365.0,Fixed
A799580,*Roger Rabbit,2019-08-19 19:09:00,Aug 2019,2019-05-10,Adoption,Cat,Neutered Male,101,Domestic Shorthair,Blue Tabby/White,3,30.0,Fixed
A833513,*Lemmy,2021-05-13 13:15:00,May 2021,2011-05-01,Transfer,Cat,Neutered Male,3665,Domestic Shorthair,Brown Tabby,10,365.0,Fixed
A755735,Baby,2017-08-15 11:46:00,Aug 2017,2013-08-08,Return to Owner,Dog,Spayed Female,1468,Australian Cattle Dog,Blue Merle,4,365.0,Fixed
A697910,Boris,2015-06-23 13:38:00,Jun 2015,2013-03-03,Return to Owner,Cat,Neutered Male,842,Domestic Medium Hair Mix,Orange Tabby/White,2,365.0,Fixed
A666111,*Jerry,2013-10-29 18:47:00,Oct 2013,2013-07-29,Adoption,Cat,Neutered Male,92,Domestic Shorthair Mix,Orange Tabby/White,3,30.0,Fixed
A827385,Mittens,2021-01-27 08:51:00,Jan 2021,2019-12-20,Adoption,Cat,Spayed Female,404,Domestic Shorthair,Blue Tabby/White,1,365.0,Fixed
A807106,Wendell,2020-07-23 17:46:00,Jul 2020,2019-03-20,Adoption,Dog,Neutered Male,491,Standard Poodle,Silver,1,365.0,Fixed
A785591,Luke,2019-03-09 11:49:00,Mar 2019,2017-09-11,Adoption,Dog,Neutered Male,544,Labrador Retriever Mix,Brown/White,1,365.0,Fixed
A707921,Debo,2015-07-21 15:01:00,Jul 2015,2011-08-14,Return to Owner,Dog,Intact Male,1437,Pit Bull Mix,Red/White,3,365.0,Intact
A718784,*Marigold,2016-01-12 11:52:00,Jan 2016,2015-10-07,Adoption,Cat,Spayed Female,97,Domestic Shorthair Mix,Brown Tabby/White,3,30.0,Fixed
A808862,Big Papi,2019-11-18 12:23:00,Nov 2019,2018-11-14,Transfer,Dog,Intact Male,369,Miniature Poodle Mix,Apricot,1,365.0,Intact
A707253,Goowa,2016-01-29 16:57:00,Jan 2016,2012-07-10,Transfer,Dog,Neutered Male,1298,Pit Bull Mix,Apricot/Brown,3,365.0,Fixed
A721165,*Nelson,2016-02-26 21:13:00,Feb 2016,2015-02-22,Adoption,Dog,Neutered Male,369,Pit Bull Mix,Brown/White,1,365.0,Fixed
A819227,Agou,2020-06-30 18:52:00,Jun 2020,2018-06-24,Rto-Adopt,Dog,Spayed Female,737,Great Pyrenees,White,2,365.0,Fixed
A685823,Walker,2014-08-15 17:17:00,Aug 2014,2011-08-13,Return to Owner,Dog,Neutered Male,1098,Pit Bull Mix,Black/White,3,365.0,Fixed
A805622,Sadie,2019-12-05 12:02:00,Dec 2019,2018-03-29,Adoption,Dog,Spayed Female,616,German Shepherd Mix,Black/Tan,1,365.0,Fixed
A651995,*Sugar,2018-07-02 15:34:00,Jul 2018,2011-10-18,Adoption,Dog,Spayed Female,2449,Staffordshire Mix,Brown/White,6,365.0,Fixed
A769199,Sophia,2018-04-03 16:33:00,Apr 2018,2016-04-01,Return to Owner,Dog,Intact Female,732,Dachshund Mix,Black/Tan,2,365.0,Intact
A696539,Jasper,2015-02-14 16:36:00,Feb 2015,2014-11-06,Adoption,Dog,Neutered Male,100,Australian Cattle Dog Mix,Tan/White,3,30.0,Fixed
A725540,*Tiny,2016-05-02 13:32:00,May 2016,2016-04-08,Transfer,Cat,Intact Male,24,Domestic Shorthair Mix,Brown Tabby/White,3,7.0,Intact
A839198,A839198,2021-08-06 13:07:00,Aug 2021,2021-06-08,Adoption,Dog,Spayed Female,59,German Shepherd,Black/Tan,1,30.0,Fixed
A739966,*Skippyjohn,2017-02-10 07:34:00,Feb 2017,2016-11-09,Adoption,Cat,Neutered Male,93,Siamese Mix,Seal Point,3,30.0,Fixed
A808447,Elle,2019-12-04 14:45:00,Dec 2019,2019-05-08,Adoption,Dog,Intact Female,210,Labrador Retriever,Black,6,30.0,Intact
A729355,*Bridget,2016-06-24 14:31:00,Jun 2016,2016-02-11,Transfer,Cat,Intact Female,134,Domestic Shorthair Mix,Torbie/Brown Tabby,4,30.0,Intact
A766831,Lucky,2018-02-19 12:30:00,Feb 2018,2016-02-17,Return to Owner,Dog,Intact Male,733,Great Pyrenees Mix,White/Black,2,365.0,Intact
A706892,Penny,2016-02-24 18:32:00,Feb 2016,2012-07-05,Adoption,Dog,Spayed Female,1329,German Shepherd Mix,Tan/Black,3,365.0,Fixed
A726716,*Montana,2016-12-20 09:59:00,Dec 2016,2015-05-13,Adoption,Dog,Neutered Male,587,Pit Bull Mix,Brown Brindle/White,1,365.0,Fixed
A692534,Lareine,2014-11-28 16:58:00,Nov 2014,2013-11-22,Adoption,Dog,Spayed Female,371,Queensland Heeler/Pointer,Blue Tick,1,365.0,Fixed
A767252,Amy,2019-03-04 19:15:00,Mar 2019,2010-01-26,Return to Owner,Dog,Spayed Female,3324,Chihuahua Shorthair Mix,Tricolor/White,9,365.0,Fixed
A781920,Binz,2018-10-08 11:17:00,Oct 2018,2016-10-08,Return to Owner,Dog,Neutered Male,730,American Bulldog Mix,White/Gray,2,365.0,Fixed
A764556,Cash,2018-01-01 16:43:00,Jan 2018,2011-05-22,Return to Owner,Dog,Intact Male,2416,Labrador Retriever Mix,Black,6,365.0,Intact
A666702,*Farley,2015-01-12 14:17:00,Jan 2015,2013-03-06,Adoption,Dog,Neutered Male,677,Catahoula Mix,Brown Brindle/White,1,365.0,Fixed
A652101,Stella,2016-01-06 18:56:00,Jan 2016,2011-04-20,Return to Owner,Dog,Spayed Female,1722,Pit Bull/Chow Chow,Tan/White,4,365.0,Fixed
A727902,*Jake,2016-06-06 19:48:00,Jun 2016,2010-05-27,Adoption,Dog,Neutered Male,2202,Pug Mix,Black/White,6,365.0,Fixed
A810834,Amigo,2020-01-14 13:54:00,Jan 2020,2017-12-21,Transfer,Dog,Neutered Male,754,Pit Bull/Australian Cattle Dog,Chocolate/Tan,2,365.0,Fixed
A789482,Mclaren,2019-02-26 16:21:00,Feb 2019,2018-12-18,Adoption,Dog,Neutered Male,70,Boxer/Australian Cattle Dog,Brown Brindle/White,2,30.0,Fixed
A661916,Bella,2014-04-02 17:42:00,Apr 2014,2011-08-27,Euthanasia,Dog,Spayed Female,949,Pit Bull Mix,White/Brown,2,365.0,Fixed
A801634,Simba,2019-10-15 18:21:00,Oct 2019,2019-04-06,Adoption,Cat,Neutered Male,192,Domestic Shorthair Mix,White/Brown Tabby,6,30.0,Fixed
A783891,Elizabeth T,2019-01-16 11:28:00,Jan 2019,2015-11-08,Adoption,Dog,Spayed Female,1165,Border Terrier,Black/Tan,3,365.0,Fixed
A747746,*Hops,2017-05-28 17:44:00,May 2017,2016-04-24,Adoption,Cat,Spayed Female,399,Domestic Shorthair Mix,Brown Tabby/White,1,365.0,Fixed
A681272,Chucky,2014-06-17 13:29:00,Jun 2014,2011-06-14,Transfer,Dog,Neutered Male,1099,Chihuahua Shorthair Mix,Brown,3,365.0,Fixed
A711258,Cash,2015-11-03 19:38:00,Nov 2015,2012-09-04,Adoption,Dog,Neutered Male,1155,Boxer Mix,White/Brown Brindle,3,365.0,Fixed
A676139,*Iona,2017-03-08 07:51:00,Mar 2017,2008-04-09,Adoption,Cat,Spayed Female,3255,Domestic Shorthair Mix,Brown Tabby/White,8,365.0,Fixed
A676256,Maxey,2014-04-07 18:49:00,Apr 2014,1999-04-07,Return to Owner,Cat,Spayed Female,5479,Domestic Shorthair Mix,Torbie,15,365.0,Fixed
A667657,Rye,2013-12-01 13:10:00,Dec 2013,2006-11-20,Adoption,Dog,Neutered Male,2568,Mastiff Mix,Brown Brindle/White,7,365.0,Fixed
A698183,*Eleanor,2015-03-12 16:13:00,Mar 2015,2013-03-06,Euthanasia,Dog,Intact Female,736,Pit Bull Mix,Brown Brindle,2,365.0,Intact
A729125,Auburn,2016-06-19 16:36:00,Jun 2016,2015-07-13,Adoption,Dog,Spayed Female,342,Golden Retriever/Bearded Collie,Red/White,11,30.0,Fixed
A726827,Sweet Pea,2017-05-29 17:07:00,May 2017,2016-04-15,Adoption,Cat,Spayed Female,409,Domestic Shorthair Mix,Torbie,1,365.0,Fixed
A662741,*Todd,2013-10-05 12:42:00,Oct 2013,2013-08-11,Transfer,Cat,Intact Male,55,Domestic Shorthair Mix,Black,1,30.0,Intact
A796941,*Carrot,2019-08-03 14:40:00,Aug 2019,2019-04-27,Adoption,Cat,Neutered Male,98,Domestic Shorthair,Cream Tabby,3,30.0,Fixed
A718387,*Jack Frost,2016-01-16 16:12:00,Jan 2016,2006-12-29,Adoption,Dog,Neutered Male,3305,American Eskimo Mix,Cream,9,365.0,Fixed
A767108,Dotty,2018-05-06 19:36:00,May 2018,2015-02-23,Adoption,Dog,Spayed Female,1168,Boston Terrier Mix,White/Blue,3,365.0,Fixed
A792484,Taros,2020-05-31 13:00:00,May 2020,2018-04-11,Adoption,Dog,Neutered Male,781,German Shepherd Mix,Cream,2,365.0,Fixed
A731104,*Zakarin,2016-09-20 11:28:00,Sep 2016,2016-04-20,Adoption,Cat,Neutered Male,153,Domestic Shorthair Mix,Orange Tabby,5,30.0,Fixed
A842306,*Lemondrop,2021-09-24 18:37:00,Sep 2021,2020-09-13,Adoption,Dog,Spayed Female,376,Vizsla Mix,Red/White,1,365.0,Fixed
A784970,Ziggy,2019-03-16 11:31:00,Mar 2019,2018-05-24,Return to Owner,Dog,Neutered Male,296,Pit Bull Mix,White/Black,9,30.0,Fixed
A687949,Apollo,2014-10-10 17:53:00,Oct 2014,2012-09-12,Adoption,Dog,Neutered Male,758,Australian Kelpie Mix,Black/Tan,2,365.0,Fixed
A718705,*Thor,2016-01-12 19:00:00,Jan 2016,2014-01-05,Adoption,Dog,Neutered Male,737,Siberian Husky Mix,Black/White,2,365.0,Fixed
A685791,Chispa,2014-08-13 18:41:00,Aug 2014,2013-02-12,Adoption,Dog,Neutered Male,547,Catahoula Mix,White/Tan,1,365.0,Fixed
A803510,Rocky,2019-09-03 11:56:00,Sep 2019,2018-03-02,Transfer,Dog,Intact Male,550,Yorkshire Terrier Mix,Black/Tan,1,365.0,Intact
A732051,*Cinnamon,2016-08-08 15:12:00,Aug 2016,2016-06-24,Transfer,Cat,Intact Female,45,Domestic Shorthair Mix,Torbie,1,30.0,Intact
A743602,*Dodger,2017-02-14 14:46:00,Feb 2017,2016-05-01,Transfer,Other,Intact Male,289,Guinea Pig Mix,Tricolor,9,30.0,Intact
A744629,Hazel,2017-03-15 11:49:00,Mar 2017,2012-03-04,Adoption,Cat,Spayed Female,1837,Domestic Shorthair Mix,Blue/White,5,365.0,Fixed
A776224,Taylor,2018-07-12 19:02:00,Jul 2018,2011-09-26,Transfer,Dog,Spayed Female,2481,Shiba Inu Mix,Tan,6,365.0,Fixed
A754938,Ivory,2017-07-29 15:24:00,Jul 2017,2016-06-06,Return to Owner,Dog,Intact Female,418,Australian Cattle Dog/German Shepherd,Black/Brown,1,365.0,Intact
A839879,*Winnie,2021-09-09 11:55:00,Sep 2021,2020-08-05,Transfer,Dog,Spayed Female,400,Labrador Retriever/Beagle,Black/White,1,365.0,Fixed
A719479,Snake Finder,2017-08-13 13:55:00,Aug 2017,2015-01-21,Return to Owner,Dog,Neutered Male,935,Miniature Pinscher,Black/Tan,2,365.0,Fixed
A720562,*Joni,2016-02-21 12:39:00,Feb 2016,2012-02-11,Adoption,Cat,Spayed Female,1471,Domestic Shorthair Mix,Tortie,4,365.0,Fixed
A766116,Max,2018-02-13 11:14:00,Feb 2018,2015-02-02,Return to Owner,Dog,Neutered Male,1107,Rottweiler/Staffordshire,Blue/Tan,3,365.0,Fixed
A721171,Louie,2016-02-25 15:51:00,Feb 2016,2015-12-07,Adoption,Dog,Neutered Male,80,Dachshund Mix,Red/White,2,30.0,Fixed
A819694,Zoey,2020-07-12 13:42:00,Jul 2020,2020-03-12,Transfer,Dog,Intact Female,122,Yorkshire Terrier Mix,Black/White,4,30.0,Intact
A605223,*Coconut,2014-07-05 18:49:00,Jul 2014,2010-09-05,Adoption,Dog,Spayed Female,1399,Pit Bull Mix,Black/White,3,365.0,Fixed
A729037,Blanco,2016-07-01 18:44:00,Jul 2016,2016-04-12,Adoption,Cat,Intact Male,80,Domestic Shorthair Mix,Orange Tabby,2,30.0,Intact
A832174,Monster,2021-04-16 16:11:00,Apr 2021,2013-04-09,Adoption,Dog,Spayed Female,2929,Pit Bull,Blue,8,365.0,Fixed
A797068,Chumley,2019-06-15 17:25:00,Jun 2019,2017-06-08,Adoption,Cat,Neutered Male,737,Domestic Shorthair Mix,Brown Tabby,2,365.0,Fixed
A731908,*Shorty,2016-09-04 17:33:00,Sep 2016,2015-07-29,Adoption,Dog,Neutered Male,403,Staffordshire/Basset Hound,Brown Brindle/White,1,365.0,Fixed
A705501,Chato,2015-06-27 13:19:00,Jun 2015,2015-03-12,Return to Owner,Dog,Intact Male,107,Boxer,Black Brindle/White,3,30.0,Intact
A684628,*Cody,2014-08-01 18:05:00,Aug 2014,2013-07-26,Adoption,Dog,Neutered Male,371,Akita Mix,Sable,1,365.0,Fixed
A788671,Lulu,2019-07-06 18:12:00,Jul 2019,2017-10-06,Adoption,Dog,Spayed Female,638,German Shepherd Mix,Red,1,365.0,Fixed
A740771,*Edmund,2016-12-24 15:52:00,Dec 2016,2015-12-22,Return to Owner,Dog,Neutered Male,368,Labrador Retriever Mix,Yellow,1,365.0,Fixed
A773488,*O'Malley,2018-07-25 06:31:00,Jul 2018,2018-04-29,Adoption,Cat,Neutered Male,87,Domestic Shorthair Mix,Orange Tabby/White,2,30.0,Fixed
A692406,*Remington,2014-12-01 16:02:00,Dec 2014,2013-11-19,Adoption,Dog,Neutered Male,377,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,1,365.0,Fixed
A697608,Effie,2015-02-27 18:10:00,Feb 2015,2014-11-26,Adoption,Cat,Intact Female,93,Domestic Shorthair Mix,Blue Tabby/White,3,30.0,Intact
A753292,Chaco,2017-07-05 15:19:00,Jul 2017,2001-07-04,Adoption,Cat,Neutered Male,5845,Persian,White/Brown Tabby,16,365.0,Fixed
A732325,Tobi,2016-08-19 18:01:00,Aug 2016,2015-02-06,Return to Owner,Dog,Spayed Female,560,Labrador Retriever/Pit Bull,Chocolate/Black,1,365.0,Fixed
A836935,Aries,2021-06-19 16:08:00,Jun 2021,2020-06-15,Return to Owner,Dog,Intact Male,369,Siberian Husky Mix,Black/Tan,1,365.0,Intact
A720727,Rooster 11,2016-03-08 13:47:00,Mar 2016,2015-02-14,Adoption,Bird,Intact Male,388,Chicken Mix,Black/Red,1,365.0,Intact
A753146,*Susan,2017-08-05 17:40:00,Aug 2017,2017-06-02,Adoption,Cat,Spayed Female,64,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A716395,*Jenny,2015-11-28 17:27:00,Nov 2015,2013-11-19,Transfer,Dog,Intact Female,739,Pit Bull Mix,Fawn/White,2,365.0,Intact
A664661,Lily,2013-10-13 17:04:00,Oct 2013,2013-08-07,Adoption,Cat,Spayed Female,67,Domestic Shorthair Mix,Black/White,2,30.0,Fixed
A705337,Haylie,2017-08-15 12:43:00,Aug 2017,2013-06-16,Adoption,Dog,Spayed Female,1521,Pit Bull Mix,Tan/White,4,365.0,Fixed
A791446,Leopold,2019-03-31 13:58:00,Mar 2019,2016-03-28,Return to Owner,Dog,Neutered Male,1098,English Bulldog,White/Brown,3,365.0,Fixed
A728903,Izzy,2017-05-21 15:18:00,May 2017,2015-06-10,Adoption,Dog,Spayed Female,711,American Bulldog Mix,Black/White,1,365.0,Fixed
A832041,Tiny,2021-04-17 12:33:00,Apr 2021,2019-04-06,Adoption,Dog,Spayed Female,742,Labrador Retriever Mix,Black,2,365.0,Fixed
A790255,Pantera,2019-03-12 17:37:00,Mar 2019,2017-03-07,Rto-Adopt,Dog,Spayed Female,735,Miniature Schnauzer Mix,Black,2,365.0,Fixed
A690186,Keylow,2015-10-08 17:06:00,Oct 2015,2014-02-15,Adoption,Dog,Neutered Male,600,Miniature Poodle Mix,White,1,365.0,Fixed
A760255,Deuce,2017-10-23 15:38:00,Oct 2017,2016-10-15,Adoption,Dog,Neutered Male,373,Black Mouth Cur Mix,Brown/Black,1,365.0,Fixed
A695222,Bochy,2015-01-15 18:19:00,Jan 2015,2013-01-11,Adoption,Dog,Neutered Male,734,Flat Coat Retriever Mix,Black/White,2,365.0,Fixed
A842803,Charlie,2021-09-23 18:10:00,Sep 2021,2021-07-21,Adoption,Dog,Neutered Male,64,Pit Bull,Tan,2,30.0,Fixed
